,AAPL,GOOG,MSFT
2026-05-21 14:25:00+00:00,,382.0150146484375,417.5050048828125
2026-05-21 14:26:00+00:00,,381.67999267578125,417.1499938964844
2026-05-21 14:27:00+00:00,,382.20001220703125,417.82000732421875
2026-05-21 14:28:00+00:00,,382.0249938964844,417.54998779296875
2026-05-21 14:29:00+00:00,,382.7301025390625,417.32000732421875
2026-05-21 14:30:00+00:00,,383.3949890136719,417.2900085449219
2026-05-21 14:31:00+00:00,,383.4599914550781,417.04998779296875
2026-05-21 14:32:00+00:00,,383.8999938964844,416.989990234375
2026-05-21 14:33:00+00:00,,384.1261901855469,416.6600036621094
2026-05-21 14:34:00+00:00,,384.17999267578125,416.739990234375
2026-05-21 14:35:00+00:00,,384.25,416.7149963378906
2026-05-21 14:36:00+00:00,,384.2900085449219,416.73870849609375
2026-05-21 14:37:00+00:00,,384.385009765625,416.69500732421875
2026-05-21 14:38:00+00:00,,384.3999938964844,416.9187927246094
2026-05-21 14:39:00+00:00,,384.05999755859375,416.69000244140625
2026-05-21 14:40:00+00:00,,383.7550048828125,416.4599914550781
2026-05-21 14:41:00+00:00,,383.82000732421875,416.70001220703125
2026-05-21 14:42:00+00:00,,383.9200134277344,417.0400085449219
2026-05-21 14:43:00+00:00,,384.1050109863281,417.2799987792969
2026-05-21 14:44:00+00:00,,384.1400146484375,417.25
2026-05-21 14:45:00+00:00,,384.1199951171875,417.2900085449219
2026-05-21 14:46:00+00:00,,384.010009765625,417.0726013183594
2026-05-21 14:47:00+00:00,,383.8299865722656,416.9200134277344
2026-05-21 14:48:00+00:00,,383.9601135253906,417.04998779296875
2026-05-21 14:49:00+00:00,,384.1449890136719,417.31500244140625
2026-05-21 14:50:00+00:00,,383.82989501953125,417.3599853515625
2026-05-21 14:51:00+00:00,,384.1199951171875,418.2900085449219
2026-05-21 14:52:00+00:00,,384.1499938964844,418.239990234375
2026-05-21 14:53:00+00:00,,384.364990234375,418.4150085449219
2026-05-21 14:54:00+00:00,,384.5,418.4198913574219
2026-05-21 14:55:00+00:00,,384.95001220703125,418.25
2026-05-21 14:56:00+00:00,,385.2099914550781,418.3450012207031
2026-05-21 14:57:00+00:00,,385.1000061035156,418.6000061035156
2026-05-21 14:58:00+00:00,,385.1600036621094,418.81500244140625
2026-05-21 14:59:00+00:00,,384.9200134277344,418.7099914550781
2026-05-21 15:00:00+00:00,,385.0899963378906,418.6351013183594
2026-05-21 15:01:00+00:00,,384.80340576171875,418.19000244140625
2026-05-21 15:02:00+00:00,,385.31500244140625,418.3450012207031
2026-05-21 15:03:00+00:00,,384.8500061035156,418.15240478515625
2026-05-21 15:04:00+00:00,,385.04998779296875,418.31500244140625
2026-05-21 15:05:00+00:00,,384.625,417.8100891113281
2026-05-21 15:06:00+00:00,,384.5899963378906,418.0199890136719
2026-05-21 15:07:00+00:00,,384.5299987792969,417.760009765625
2026-05-21 15:08:00+00:00,,384.3699951171875,417.2525939941406
2026-05-21 15:09:00+00:00,,384.5799865722656,417.52508544921875
2026-05-21 15:10:00+00:00,,384.6499938964844,417.3550109863281
2026-05-21 15:11:00+00:00,,384.6300048828125,417.2300109863281
2026-05-21 15:12:00+00:00,,384.54998779296875,417.44000244140625
2026-05-21 15:13:00+00:00,,385.33709716796875,417.6549987792969
2026-05-21 15:14:00+00:00,,385.3900146484375,417.875
2026-05-21 15:15:00+00:00,,385.20001220703125,418.260009765625
2026-05-21 15:16:00+00:00,,385.1300048828125,418.1400146484375
2026-05-21 15:17:00+00:00,,385.1000061035156,418.25
2026-05-21 15:18:00+00:00,,385.20001220703125,418.30499267578125
2026-05-21 15:19:00+00:00,,385.3900146484375,418.364990234375
2026-05-21 15:20:00+00:00,,385.5,418.32000732421875
2026-05-21 15:21:00+00:00,,385.1300048828125,418.19000244140625
2026-05-21 15:22:00+00:00,,385.17999267578125,418.5400085449219
2026-05-21 15:23:00+00:00,,385.0899963378906,418.7601013183594
2026-05-21 15:24:00+00:00,,384.79998779296875,418.4599914550781
2026-05-21 15:25:00+00:00,,384.8399963378906,418.44000244140625
2026-05-21 15:26:00+00:00,,384.80999755859375,418.54998779296875
2026-05-21 15:27:00+00:00,,385.2349853515625,418.4100036621094
2026-05-21 15:28:00+00:00,,385.3800048828125,418.7489929199219
2026-05-21 15:29:00+00:00,,385.44500732421875,418.7799987792969
2026-05-21 15:30:00+00:00,,385.4649963378906,418.9419860839844
2026-05-21 15:31:00+00:00,,385.25,418.489990234375
2026-05-21 15:32:00+00:00,,385.25,418.7699890136719
2026-05-21 15:33:00+00:00,,385.17999267578125,418.9100036621094
2026-05-21 15:34:00+00:00,,385.19500732421875,418.2200012207031
2026-05-21 15:35:00+00:00,,385.6700134277344,418.239990234375
2026-05-21 15:36:00+00:00,,385.92999267578125,418.05999755859375
2026-05-21 15:37:00+00:00,,386.0899963378906,418.2200012207031
2026-05-21 15:38:00+00:00,,386.17999267578125,418.125
2026-05-21 15:39:00+00:00,,386.57000732421875,418.2099914550781
2026-05-21 15:40:00+00:00,,386.1099853515625,418.1549987792969
2026-05-21 15:41:00+00:00,,385.79998779296875,418.1400146484375
2026-05-21 15:42:00+00:00,,386.125,418.5
2026-05-21 15:43:00+00:00,,386.42999267578125,418.6499938964844
2026-05-21 15:44:00+00:00,,386.260009765625,418.2200012207031
2026-05-21 15:45:00+00:00,,386.3500061035156,418.2898864746094
2026-05-21 15:46:00+00:00,,386.1300048828125,418.1199951171875
2026-05-21 15:47:00+00:00,,386.114990234375,418.4100036621094
2026-05-21 15:48:00+00:00,,385.9800109863281,418.2699890136719
2026-05-21 15:49:00+00:00,,385.7799987792969,418.4700012207031
2026-05-21 15:50:00+00:00,,385.5249938964844,418.2893981933594
2026-05-21 15:51:00+00:00,,385.53570556640625,418.17999267578125
2026-05-21 15:52:00+00:00,,385.44000244140625,418.1300048828125
2026-05-21 15:53:00+00:00,,385.7300109863281,418.3399963378906
2026-05-21 15:54:00+00:00,,385.5199890136719,418.17999267578125
2026-05-21 15:55:00+00:00,,385.6300048828125,418.2898864746094
2026-05-21 15:56:00+00:00,,385.6199951171875,418.2701110839844
2026-05-21 15:57:00+00:00,,385.82989501953125,418.340087890625
2026-05-21 15:58:00+00:00,,385.92999267578125,418.3299865722656
2026-05-21 15:59:00+00:00,,385.67498779296875,418.20001220703125
2026-05-21 16:00:00+00:00,,386.0849914550781,418.5
2026-05-21 16:01:00+00:00,,386.0299987792969,418.260009765625
2026-05-21 16:02:00+00:00,,385.80499267578125,418.1199951171875
2026-05-21 16:03:00+00:00,,386.0,418.1650085449219
2026-05-21 16:04:00+00:00,,386.07000732421875,417.8924865722656
2026-05-21 16:05:00+00:00,,385.7200012207031,417.4200134277344
2026-05-21 16:06:00+00:00,,385.5899963378906,417.3999938964844
2026-05-21 16:07:00+00:00,,385.760009765625,417.5050964355469
2026-05-21 16:08:00+00:00,,385.9200134277344,417.6499938964844
2026-05-21 16:09:00+00:00,,385.94000244140625,417.75
2026-05-21 16:10:00+00:00,,385.67999267578125,417.3949890136719
2026-05-21 16:11:00+00:00,,385.8999938964844,417.30999755859375
2026-05-21 16:12:00+00:00,,385.8599853515625,417.3800048828125
2026-05-21 16:13:00+00:00,,385.4200134277344,417.2699890136719
2026-05-21 16:14:00+00:00,,385.5199890136719,417.45001220703125
2026-05-21 16:15:00+00:00,,385.4200134277344,417.6600036621094
2026-05-21 16:16:00+00:00,,385.5799865722656,417.510009765625
2026-05-21 16:17:00+00:00,,385.7099914550781,417.68499755859375
2026-05-21 16:18:00+00:00,,385.7300109863281,417.7099914550781
2026-05-21 16:19:00+00:00,,385.8299865722656,417.80999755859375
2026-05-21 16:20:00+00:00,,385.5150146484375,417.5668029785156
2026-05-21 16:21:00+00:00,,385.2950134277344,417.6000061035156
2026-05-21 16:22:00+00:00,,384.9501037597656,417.19000244140625
2026-05-21 16:23:00+00:00,,385.1650085449219,417.1700134277344
2026-05-21 16:24:00+00:00,,385.385009765625,417.25
2026-05-21 16:25:00+00:00,,385.0899963378906,417.1099853515625
2026-05-21 16:26:00+00:00,,385.04998779296875,417.04998779296875
2026-05-21 16:27:00+00:00,,385.3500061035156,417.1700134277344
2026-05-21 16:28:00+00:00,,385.20001220703125,417.07501220703125
2026-05-21 16:29:00+00:00,,385.1925964355469,417.19000244140625
2026-05-21 16:30:00+00:00,,385.2200012207031,417.07501220703125
2026-05-21 16:31:00+00:00,,385.0450134277344,416.9800109863281
2026-05-21 16:32:00+00:00,,385.1499938964844,416.8900146484375
2026-05-21 16:33:00+00:00,,385.2799987792969,416.8599853515625
2026-05-21 16:34:00+00:00,,384.9700012207031,416.9700012207031
2026-05-21 16:35:00+00:00,,385.0199890136719,417.2300109863281
2026-05-21 16:36:00+00:00,,384.6400146484375,417.1199951171875
2026-05-21 16:37:00+00:00,,384.42999267578125,417.3599853515625
2026-05-21 16:38:00+00:00,,384.17999267578125,417.1589050292969
2026-05-21 16:39:00+00:00,,384.2701110839844,417.4599914550781
2026-05-21 16:40:00+00:00,,384.2049865722656,417.4100036621094
2026-05-21 16:41:00+00:00,,384.2449951171875,417.19000244140625
2026-05-21 16:42:00+00:00,,384.510009765625,417.0899963378906
2026-05-21 16:43:00+00:00,,384.44000244140625,416.7735900878906
2026-05-21 16:44:00+00:00,,384.3367919921875,416.80499267578125
2026-05-21 16:45:00+00:00,,384.4599914550781,417.010009765625
2026-05-21 16:46:00+00:00,,383.8900146484375,416.989990234375
2026-05-21 16:47:00+00:00,,384.04998779296875,416.6199951171875
2026-05-21 16:48:00+00:00,,383.8800048828125,416.4549865722656
2026-05-21 16:49:00+00:00,,383.9964904785156,416.510009765625
2026-05-21 16:50:00+00:00,,383.67449951171875,416.465087890625
2026-05-21 16:51:00+00:00,,383.9200134277344,416.67999267578125
2026-05-21 16:52:00+00:00,,383.9486083984375,416.6499938964844
2026-05-21 16:53:00+00:00,,384.0450134277344,416.8599853515625
2026-05-21 16:54:00+00:00,,383.8900146484375,416.6000061035156
2026-05-21 16:55:00+00:00,,384.2300109863281,416.7799987792969
2026-05-21 16:56:00+00:00,,384.30999755859375,416.6499938964844
2026-05-21 16:57:00+00:00,,384.30999755859375,416.6499938964844
2026-05-21 16:58:00+00:00,,384.3299865722656,416.5400085449219
2026-05-21 16:59:00+00:00,,384.3399963378906,416.25
2026-05-21 17:00:00+00:00,,384.3902893066406,416.29998779296875
2026-05-21 17:01:00+00:00,,384.29998779296875,416.3599853515625
2026-05-21 17:02:00+00:00,,384.4100036621094,416.3800048828125
2026-05-21 17:03:00+00:00,,384.6400146484375,416.1700134277344
2026-05-21 17:04:00+00:00,,384.5899963378906,416.3599853515625
2026-05-21 17:05:00+00:00,,384.5249938964844,416.2699890136719
2026-05-21 17:06:00+00:00,,384.4800109863281,416.4171142578125
2026-05-21 17:07:00+00:00,,384.3900146484375,416.18499755859375
2026-05-21 17:08:00+00:00,,384.3999938964844,416.2300109863281
2026-05-21 17:09:00+00:00,,384.2925109863281,416.1400146484375
2026-05-21 17:10:00+00:00,,384.95001220703125,417.1332092285156
2026-05-21 17:11:00+00:00,,385.010009765625,417.239990234375
2026-05-21 17:12:00+00:00,,385.0299072265625,417.0150146484375
2026-05-21 17:13:00+00:00,,384.8500061035156,417.0899963378906
2026-05-21 17:14:00+00:00,,385.1400146484375,417.19000244140625
2026-05-21 17:15:00+00:00,,385.57000732421875,417.4700012207031
2026-05-21 17:16:00+00:00,,386.3299865722656,417.82000732421875
2026-05-21 17:17:00+00:00,,385.989990234375,417.5199890136719
2026-05-21 17:18:00+00:00,,386.3999938964844,417.625
2026-05-21 17:19:00+00:00,,386.2799987792969,417.260009765625
2026-05-21 17:20:00+00:00,,386.6600036621094,417.44000244140625
2026-05-21 17:21:00+00:00,,387.0450134277344,417.67999267578125
2026-05-21 17:22:00+00:00,,386.32000732421875,417.2099914550781
2026-05-21 17:23:00+00:00,,385.79998779296875,416.9750061035156
2026-05-21 17:24:00+00:00,,386.0,417.30999755859375
2026-05-21 17:25:00+00:00,,386.2298889160156,417.29998779296875
2026-05-21 17:26:00+00:00,,386.1499938964844,417.54339599609375
2026-05-21 17:27:00+00:00,,386.3399963378906,417.45001220703125
2026-05-21 17:28:00+00:00,,386.55999755859375,417.5
2026-05-21 17:29:00+00:00,,386.5199890136719,417.4267883300781
2026-05-21 17:30:00+00:00,,386.80999755859375,417.57000732421875
2026-05-21 17:31:00+00:00,,386.7900085449219,417.5972900390625
2026-05-21 17:32:00+00:00,,386.5400085449219,417.6050109863281
2026-05-21 17:33:00+00:00,,386.239990234375,417.489990234375
2026-05-21 17:34:00+00:00,,386.4800109863281,417.57000732421875
2026-05-21 17:35:00+00:00,,386.6400146484375,417.6449890136719
2026-05-21 17:36:00+00:00,,386.4949951171875,417.5950012207031
2026-05-21 17:37:00+00:00,,386.45001220703125,417.67999267578125
2026-05-21 17:38:00+00:00,,386.3399963378906,417.9100036621094
2026-05-21 17:39:00+00:00,,386.55999755859375,418.1000061035156
2026-05-21 17:40:00+00:00,,387.010009765625,418.5799865722656
2026-05-21 17:41:00+00:00,,387.2449951171875,418.7102966308594
2026-05-21 17:42:00+00:00,,387.07000732421875,418.8251037597656
2026-05-21 17:43:00+00:00,,387.0350036621094,418.3299865722656
2026-05-21 17:44:00+00:00,,387.1499938964844,418.32000732421875
2026-05-21 17:45:00+00:00,,386.7900085449219,418.2900085449219
2026-05-21 17:46:00+00:00,,387.07000732421875,418.30999755859375
2026-05-21 17:47:00+00:00,,387.0,418.260009765625
2026-05-21 17:48:00+00:00,,387.2799987792969,418.55999755859375
2026-05-21 17:49:00+00:00,,387.58441162109375,418.6300048828125
2026-05-21 17:50:00+00:00,,387.510009765625,418.5899963378906
2026-05-21 17:51:00+00:00,,387.7349853515625,419.07501220703125
2026-05-21 17:52:00+00:00,,387.9100036621094,419.2300109863281
2026-05-21 17:53:00+00:00,,388.07501220703125,419.4549865722656
2026-05-21 17:54:00+00:00,,388.3301086425781,419.864990234375
2026-05-21 17:55:00+00:00,,388.20001220703125,419.8949890136719
2026-05-21 17:56:00+00:00,,388.17999267578125,419.9549865722656
2026-05-21 17:57:00+00:00,,388.5150146484375,420.1485900878906
2026-05-21 17:58:00+00:00,,388.239990234375,419.49609375
2026-05-21 17:59:00+00:00,,388.0,419.110107421875
2026-05-21 18:00:00+00:00,,387.9100036621094,419.1549987792969
2026-05-21 18:01:00+00:00,,387.4800109863281,418.4800109863281
2026-05-21 18:02:00+00:00,,387.239990234375,418.2749938964844
2026-05-21 18:03:00+00:00,,387.2049865722656,418.94989013671875
2026-05-21 18:04:00+00:00,,386.3999938964844,418.55999755859375
2026-05-21 18:05:00+00:00,,386.4200134277344,418.2900085449219
2026-05-21 18:06:00+00:00,,386.7250061035156,418.3399963378906
2026-05-21 18:07:00+00:00,,386.79998779296875,418.2590026855469
2026-05-21 18:08:00+00:00,,386.8500061035156,418.4649963378906
2026-05-21 18:09:00+00:00,,386.5199890136719,418.3901062011719
2026-05-21 18:10:00+00:00,,386.43499755859375,418.4800109863281
2026-05-21 18:11:00+00:00,,386.4200134277344,418.364990234375
2026-05-21 18:12:00+00:00,,386.3299865722656,418.2449951171875
2026-05-21 18:13:00+00:00,,386.30999755859375,418.1449890136719
2026-05-21 18:14:00+00:00,,386.05499267578125,418.06500244140625
2026-05-21 18:15:00+00:00,,386.1000061035156,417.9649963378906
2026-05-21 18:16:00+00:00,,386.1000061035156,417.8450012207031
2026-05-21 18:17:00+00:00,,386.3800048828125,417.864990234375
2026-05-21 18:18:00+00:00,,386.5199890136719,417.82000732421875
2026-05-21 18:19:00+00:00,,386.70001220703125,417.7900085449219
2026-05-21 18:20:00+00:00,,386.8500061035156,417.7699890136719
2026-05-21 18:21:00+00:00,,386.8900146484375,417.82000732421875
2026-05-21 18:22:00+00:00,,386.8599853515625,417.7300109863281
2026-05-21 18:23:00+00:00,,386.7349853515625,418.1099853515625
2026-05-21 18:24:00+00:00,,386.80499267578125,418.32000732421875
2026-05-21 18:25:00+00:00,,386.6763916015625,418.56500244140625
2026-05-21 18:26:00+00:00,,386.67999267578125,418.5400085449219
2026-05-21 18:27:00+00:00,,386.6000061035156,418.67919921875
2026-05-21 18:28:00+00:00,,386.6600036621094,418.8500061035156
2026-05-21 18:29:00+00:00,,386.6099853515625,418.9595031738281
2026-05-21 18:30:00+00:00,,386.7149963378906,418.8559875488281
2026-05-21 18:31:00+00:00,,386.5899963378906,418.8800048828125
2026-05-21 18:32:00+00:00,,386.2049865722656,418.5899963378906
2026-05-21 18:33:00+00:00,,386.4150085449219,418.69000244140625
2026-05-21 18:34:00+00:00,,386.57000732421875,419.0150146484375
2026-05-21 18:35:00+00:00,,386.4450988769531,418.70001220703125
2026-05-21 18:36:00+00:00,,386.4849853515625,419.0
2026-05-21 18:37:00+00:00,,386.43011474609375,418.8599853515625
2026-05-21 18:38:00+00:00,,386.3699951171875,418.9549865722656
2026-05-21 18:39:00+00:00,,386.32000732421875,419.1000061035156
2026-05-21 18:40:00+00:00,,386.6300048828125,419.42999267578125
2026-05-21 18:41:00+00:00,,386.5799865722656,419.4049987792969
2026-05-21 18:42:00+00:00,,386.7749938964844,419.45001220703125
2026-05-21 18:43:00+00:00,,386.83709716796875,419.6600036621094
2026-05-21 18:44:00+00:00,,386.8500061035156,419.6300048828125
2026-05-21 18:45:00+00:00,,386.8299865722656,419.6650085449219
2026-05-21 18:46:00+00:00,,386.510009765625,419.5
2026-05-21 18:47:00+00:00,,386.69500732421875,419.6289978027344
2026-05-21 18:48:00+00:00,,386.2799987792969,419.4750061035156
2026-05-21 18:49:00+00:00,,386.3374938964844,419.2304992675781
2026-05-21 18:50:00+00:00,,386.6600036621094,419.385009765625
2026-05-21 18:51:00+00:00,,386.6099853515625,419.5899963378906
2026-05-21 18:52:00+00:00,,385.50750732421875,418.739990234375
2026-05-21 18:53:00+00:00,,385.44500732421875,418.7300109863281
2026-05-21 18:54:00+00:00,,384.67999267578125,418.1300048828125
2026-05-21 18:55:00+00:00,,384.6495056152344,418.2799987792969
2026-05-21 18:56:00+00:00,,384.6199951171875,418.29998779296875
2026-05-21 18:57:00+00:00,,384.6090087890625,418.4800109863281
2026-05-21 18:58:00+00:00,,384.45001220703125,418.4599914550781
2026-05-21 18:59:00+00:00,,384.82000732421875,418.6553955078125
2026-05-21 19:00:00+00:00,,384.760009765625,418.67999267578125
2026-05-21 19:01:00+00:00,,384.82281494140625,419.0
2026-05-21 19:02:00+00:00,,384.3599853515625,418.760986328125
2026-05-21 19:03:00+00:00,,384.7799987792969,419.1600036621094
2026-05-21 19:04:00+00:00,,384.7699890136719,419.1499938964844
2026-05-21 19:05:00+00:00,,384.5899963378906,418.8299865722656
2026-05-21 19:06:00+00:00,,384.3699951171875,418.3258972167969
2026-05-21 19:07:00+00:00,,384.3800048828125,418.6184997558594
2026-05-21 19:08:00+00:00,,384.84649658203125,418.918212890625
2026-05-21 19:09:00+00:00,,384.989990234375,419.04998779296875
2026-05-21 19:10:00+00:00,,384.6650085449219,418.9949951171875
2026-05-21 19:11:00+00:00,,384.6499938964844,418.6199951171875
2026-05-21 19:12:00+00:00,,384.79998779296875,418.7300109863281
2026-05-21 19:13:00+00:00,,384.70001220703125,418.82000732421875
2026-05-21 19:14:00+00:00,,384.6300048828125,418.9700012207031
2026-05-21 19:15:00+00:00,,384.69549560546875,419.1700134277344
2026-05-21 19:16:00+00:00,,384.57000732421875,419.0799865722656
2026-05-21 19:17:00+00:00,,384.54400634765625,419.2550048828125
2026-05-21 19:18:00+00:00,,384.6199951171875,419.3349914550781
2026-05-21 19:19:00+00:00,,384.79998779296875,419.32501220703125
2026-05-21 19:20:00+00:00,,384.7099914550781,419.1000061035156
2026-05-21 19:21:00+00:00,,384.5299987792969,419.07000732421875
